index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
2,1,2,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
3,1,3,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
4,1,4,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
5,1,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
6,1,6,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
7,1,7,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
8,1,8,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
9,1,9,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
10,1,10,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
11,1,11,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
12,2,1,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
13,2,2,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
14,2,3,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
15,2,4,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
16,2,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
17,2,6,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
18,2,7,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
19,2,8,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
20,2,9,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
21,2,10,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
22,2,11,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
23,3,1,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
24,3,2,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
25,3,3,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
26,3,4,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
27,3,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
28,3,6,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
29,3,7,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
30,3,8,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
31,3,9,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
32,3,10,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
33,3,11,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
34,4,1,3.64635,16.0973,3.64635,16.0973,3.64635,16.0973,3.654,16.0816,Inf,16.0592
35,4,2,3.64635,16.0973,3.64635,16.0973,3.64635,16.0973,3.654,16.0816,Inf,16.0592
36,4,3,Inf,14.1598,Inf,14.1598,Inf,14.1598,3.65392,16.0818,Inf,0
37,4,4,Inf,12.5651,Inf,12.5651,Inf,12.5651,3.65388,16.0819,Inf,0
38,4,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
39,4,6,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
40,4,7,Inf,14.9477,Inf,14.9477,Inf,14.9477,Inf,11.4906,3.66508,16.059
41,4,8,Inf,15.3512,Inf,15.3512,Inf,15.3512,Inf,0,3.66512,16.0589
42,4,9,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
43,4,10,Inf,13.0253,Inf,13.0253,Inf,13.0253,Inf,12.7287,Inf,0
44,4,11,Inf,0,Inf,0,Inf,0,Inf,0,Inf,12.6651
45,5,1,2.10867,20.8661,2.10867,20.8661,2.10867,20.8661,2.11022,20.8588,2.10917,20.8638
46,5,2,2.10867,20.8661,2.10867,20.8661,2.10867,20.8661,2.11022,20.8588,2.10917,20.8638
47,5,3,Inf,18.5686,Inf,18.5686,Inf,18.5686,2.11016,20.8591,Inf,14.0481
48,5,4,Inf,16.1274,Inf,16.1274,Inf,16.1274,2.11013,20.8592,Inf,0
49,5,5,Inf,11.9627,Inf,11.9627,Inf,11.9627,5.44677,13.4027,Inf,15.2207
50,5,6,Inf,0,Inf,0,Inf,0,Inf,0,Inf,14.0386
51,5,7,Inf,19.4843,Inf,19.4843,Inf,19.4843,Inf,15.2399,2.10924,20.8635
