index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor
1,1,1,14.7725,1.69721,2.772,14.9146,1.65942,2.733,14.6918,1.71924,2.794,14.7258,1.70989,2.786,14.8716,1.67072,2.744,0,Inf,Inf,0,Inf,Inf
2,1,2,6.19442,16.2176,17.297,8.72445,6.25131,7.33,14.7647,1.69933,2.774,12.1131,2.7282,3.806,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
3,1,3,8.70597,6.28634,7.361,14.842,1.67857,2.752,6.20734,16.1181,17.193,0,Inf,Inf,13.5859,2.06946,3.143,0,Inf,Inf,0,Inf,Inf
4,1,4,14.7725,1.69721,2.772,6.19324,16.2267,17.302,8.6898,6.31723,7.394,13.5417,2.08561,3.161,12.0803,2.74629,3.821,0,Inf,Inf,0,Inf,Inf
5,1,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
6,2,1,23.113,0.608183,1.683,23.445,0.589012,1.662,22.9919,0.615404,1.689,22.9593,0.617372,1.693,23.3493,0.594446,1.668,0,Inf,Inf,0,Inf,Inf
7,2,2,10.3823,3.99521,5.074,12.8822,2.35061,3.425,23.169,0.604885,1.678,19.3179,0.912526,1.987,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
8,2,3,12.9233,2.33266,3.406,23.269,0.599064,1.672,10.4083,3.97012,5.044,0,Inf,Inf,20.8882,0.764105,1.838,0,Inf,Inf,0,Inf,Inf
9,2,4,23.113,0.608183,1.683,10.3345,4.04192,5.116,12.8572,2.36159,3.437,20.7474,0.775897,1.85,19.2972,0.914753,1.989,0,Inf,Inf,0,Inf,Inf
10,2,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
11,3,1,26.8306,0.435684,1.509,27.3314,0.418115,1.491,26.7373,0.439079,1.513,26.6809,0.441148,1.517,27.1974,0.422713,1.496,0,Inf,Inf,0,Inf,Inf
12,3,2,12.2892,2.63416,3.712,14.7776,1.69582,2.77,26.975,0.430508,1.504,22.6286,0.637845,1.711,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
13,3,3,14.8241,1.68334,2.757,27.0952,0.426268,1.499,12.3263,2.61495,3.688,0,Inf,Inf,24.1907,0.549077,1.622,0,Inf,Inf,0,Inf,Inf
14,3,4,26.8306,0.435684,1.509,12.2234,2.6687,3.743,14.7304,1.70864,2.784,24.0036,0.558711,1.633,22.5232,0.644582,1.718,0,Inf,Inf,0,Inf,Inf
15,3,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
16,4,1,32.0732,0.863246,1.938,32.7226,0.827799,1.901,31.8929,0.873477,1.948,31.8513,0.87586,1.952,32.5236,0.838433,1.912,0,Inf,Inf,0,Inf,Inf
17,4,2,13.9259,5.00139,6.081,18.6504,2.66706,3.746,32.2227,0.85489,1.929,26.6842,1.26579,2.343,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
18,4,3,18.5668,2.69241,3.767,32.3961,0.845347,1.919,13.9905,4.95037,6.025,0,Inf,Inf,29.4026,1.03482,2.108,0,Inf,Inf,0,Inf,Inf
19,4,4,32.0731,0.863247,1.938,13.8754,5.04186,6.117,18.442,2.73091,3.807,29.1184,1.05594,2.13,26.4749,1.28663,2.361,0,Inf,Inf,0,Inf,Inf
20,4,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
21,5,1,36.7695,0.647869,1.722,37.6377,0.616689,1.689,36.6543,0.652173,1.725,36.439,0.660334,1.736,37.3599,0.626429,1.7,0,Inf,Inf,0,Inf,Inf
22,5,2,15.5271,3.94118,5.02,22.0127,1.88659,2.96,37.0767,0.636583,1.709,30.1879,0.979564,2.053,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
23,5,3,21.9958,1.88961,2.963,37.2194,0.631438,1.704,15.6509,3.87411,4.948,0,Inf,Inf,34.1187,0.75839,1.831,0,Inf,Inf,0,Inf,Inf
24,5,4,36.7694,0.647873,1.722,15.4623,3.97703,5.052,21.7967,1.92565,3.001,33.7281,0.776937,1.851,29.9957,0.992683,2.066,0,Inf,Inf,0,Inf,Inf
25,5,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
26,6,1,39.5822,0.554227,1.628,40.6692,0.523192,1.596,39.5403,0.555475,1.628,39.2795,0.56334,1.639,40.2782,0.534062,1.607,0,Inf,Inf,0,Inf,Inf
27,6,2,17.0048,3.24276,4.321,23.4705,1.65153,2.725,40.0281,0.541186,1.614,32.7458,0.826569,1.9,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
28,6,3,23.4517,1.65427,2.728,40.186,0.536673,1.609,17.1384,3.18923,4.263,0,Inf,Inf,36.6748,0.651406,1.724,0,Inf,Inf,0,Inf,Inf
29,6,4,39.5823,0.554225,1.628,16.9085,3.28226,4.357,23.2117,1.68993,2.765,36.21,0.669173,1.744,32.4971,0.839861,1.913,0,Inf,Inf,0,Inf,Inf
30,6,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
31,7,1,51.4947,0.296321,1.37,53.3689,0.272277,1.345,51.5629,0.295393,1.368,51.0421,0.302592,1.378,52.6675,0.280929,1.353,0,Inf,Inf,0,Inf,Inf
32,7,2,21.9725,2.43471,3.513,31.4335,0.980754,2.054,52.3379,0.285134,1.358,42.5575,0.467443,1.541,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
33,7,3,31.3155,0.989955,2.063,52.5989,0.281797,1.354,22.2598,2.35379,3.427,0,Inf,Inf,48.2965,0.345128,1.418,0,Inf,Inf,0,Inf,Inf
34,7,4,51.4947,0.296321,1.37,21.8362,2.47451,3.549,30.8533,1.02724,2.103,47.41,0.36073,1.435,42.0666,0.480713,1.554,0,Inf,Inf,0,Inf,Inf
35,7,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
36,8,1,60.3741,0.194289,1.269,62.8533,0.177422,1.251,60.4884,0.193458,1.268,59.7915,0.19861,1.275,61.9498,0.183299,1.257,0,Inf,Inf,0,Inf,Inf
37,8,2,25.8974,1.70198,2.781,37.4958,0.611124,1.69,61.4965,0.18636,1.261,50.2602,0.296933,1.374,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
38,8,3,37.0421,0.630638,1.705,61.8528,0.183948,1.257,26.3395,1.61829,2.693,0,Inf,Inf,56.8824,0.222566,1.296,0,Inf,Inf,0,Inf,Inf
39,8,4,60.3743,0.194287,1.269,25.7388,1.73357,2.809,36.3875,0.660506,1.737,55.6203,0.234362,1.31,49.3098,0.310674,1.385,0,Inf,Inf,0,Inf,Inf
40,8,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
41,9,1,63.9273,0.170805,1.245,66.7365,0.155187,1.229,64.1385,0.169549,1.243,63.3125,0.174546,1.251,65.6897,0.16074,1.234,0,Inf,Inf,0,Inf,Inf
42,9,2,27.5991,1.41089,2.489,39.7744,0.525725,1.6,65.237,0.163236,1.237,53.312,0.258566,1.336,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
43,9,3,39.4417,0.53702,1.612,65.6405,0.161008,1.235,28.0739,1.34294,2.417,0,Inf,Inf,60.4049,0.194065,1.268,0,Inf,Inf,0,Inf,Inf
44,9,4,63.9273,0.170805,1.245,27.3717,1.44527,2.521,38.6828,0.564205,1.641,58.9386,0.205207,1.281,52.2157,0.271426,1.346,0,Inf,Inf,0,Inf,Inf
45,9,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
46,10,1,72.2207,0.137537,1.212,75.9786,0.126715,1.199,72.786,0.135855,1.209,71.527,0.139626,1.215,74.4524,0.13101,1.205,0,Inf,Inf,0,Inf,Inf
47,10,2,31.6518,0.424791,1.503,45.8165,0.247748,1.322,74.0901,0.13205,1.206,60.4614,0.177321,1.254,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
48,10,3,45.2671,0.251312,1.326,74.6616,0.130414,1.203,32.4259,0.405657,1.479,0,Inf,Inf,68.7584,0.148264,1.222,0,Inf,Inf,0,Inf,Inf
49,10,4,72.2207,0.137537,1.212,31.4341,0.430601,1.505,44.2354,0.258326,1.335,66.7234,0.154929,1.229,59.0242,0.182917,1.257,0,Inf,Inf,0,Inf,Inf
50,10,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
51,11,1,79.6417,0.266612,1.342,84.0776,0.248886,1.323,81.0684,0.260666,1.339,78.9403,0.269631,1.347,82.2844,0.255789,1.33,0,Inf,Inf,0,Inf,Inf
52,11,2,35.6181,1.63605,2.718,51.8711,0.516345,1.597,82.5302,0.254823,1.333,66.9971,0.335127,1.414,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
53,11,3,50.7464,0.540838,1.617,82.5947,0.25457,1.329,36.7531,1.43275,2.515,0,Inf,Inf,76.3241,0.281512,1.356,0,Inf,Inf,0,Inf,Inf
54,11,4,79.6418,0.266612,1.342,35.3551,1.6902,2.768,49.4317,0.573182,1.652,73.7452,0.294335,1.371,65.1556,0.348761,1.424,0,Inf,Inf,0,Inf,Inf
55,11,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
56,12,1,82.3855,0.25539,1.331,87.3423,0.237102,1.311,84.0855,0.248857,1.326,81.7963,0.257726,1.334,85.202,0.244721,1.319,0,Inf,Inf,0,Inf,Inf
57,12,2,37.269,1.35422,2.435,54.3474,0.470683,1.55,85.5977,0.243282,1.321,69.4445,0.318875,1.397,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
58,12,3,53.0328,0.493648,1.569,85.8023,0.242544,1.316,38.6306,1.17956,2.261,0,Inf,Inf,79.2215,0.268413,1.343,0,Inf,Inf,0,Inf,Inf
59,12,4,82.3856,0.25539,1.331,37.0821,1.38179,2.458,51.6468,0.521019,1.599,76.496,0.280699,1.356,67.4647,0.331869,1.407,0,Inf,Inf,0,Inf,Inf
60,12,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
61,13,1,84.682,0.358694,1.434,89.7865,0.329211,1.404,86.539,0.347286,1.426,84.0238,0.362953,1.44,87.6461,0.340873,1.415,0,Inf,Inf,0,Inf,Inf
62,13,2,38.8152,4.01695,5.104,56.3521,0.831706,1.912,88.075,0.338462,1.417,71.5125,0.476179,1.555,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
63,13,3,54.9149,0.897989,1.974,88.21,0.337711,1.412,40.22,3.28197,4.364,0,Inf,Inf,81.6771,0.379162,1.454,0,Inf,Inf,0,Inf,Inf
64,13,4,84.682,0.358695,1.434,38.7115,4.08064,5.164,53.4214,0.978788,2.057,78.6366,0.402953,1.479,69.2938,0.50614,1.583,0,Inf,Inf,0,Inf,Inf
65,13,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
66,14,1,88.1512,0.506214,1.583,93.9165,0.450429,1.525,90.3599,0.482975,1.562,87.532,0.513214,1.592,91.3304,0.473544,1.549,0,Inf,Inf,0,Inf,Inf
67,14,2,0,Inf,Inf,59.8274,1.50897,2.59,91.9214,0.468012,1.548,74.6809,0.734756,1.814,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
68,14,3,58.4063,1.66448,2.747,92.2923,0.464619,1.539,0,Inf,Inf,0,Inf,Inf,85.4776,0.538173,1.614,0,Inf,Inf,0,Inf,Inf
69,14,4,88.1512,0.506214,1.583,0,Inf,Inf,56.8173,1.87338,2.957,82.063,0.586598,1.664,72.4335,0.79748,1.874,0,Inf,Inf,0,Inf,Inf
70,14,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
